"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 02:43:10 ART 2022","Tue Jun 28 02:43:11 ART 2022","1583","","Header/footer/asside on list page","","Header/footer/asside on list page","Aside on list page","Aside on list page",""
"passed","Mon Jun 27 20:08:51 ART 2022","Mon Jun 27 20:08:52 ART 2022","736","","Edit/add admin page interactions","","Edit/add admin page interactions","success First Name","success First Name",""
"passed","Mon Jun 27 19:48:38 ART 2022","Mon Jun 27 19:48:39 ART 2022","725","","Edit admin page interactions","","Edit admin page interactions","Edit with success password","Edit with success password",""
"passed","Tue Jun 28 00:29:29 ART 2022","Tue Jun 28 00:29:30 ART 2022","838","","Edit admin page interactions","","Edit admin page interactions","long failed password","long failed password",""
"passed","Mon Jun 27 20:08:52 ART 2022","Mon Jun 27 20:08:53 ART 2022","761","","Edit/add admin page interactions","","Edit/add admin page interactions","success Email","success Email",""
"passed","Sun Jun 26 23:55:39 ART 2022","Sun Jun 26 23:55:39 ART 2022","150","","Home page interactions","","Home page interactions","Buttons clickables","Buttons clickables",""
"passed","Tue Jun 28 02:42:50 ART 2022","Tue Jun 28 02:42:51 ART 2022","952","","Edit admin page interactions","","Edit admin page interactions","Elements displayed","Elements displayed",""
"passed","Mon Jun 27 20:08:55 ART 2022","Mon Jun 27 20:08:57 ART 2022","1825","","Edit/add admin page interactions","","Edit/add admin page interactions","empty inputs","empty inputs",""
"passed","Tue Jun 28 02:42:56 ART 2022","Tue Jun 28 02:42:57 ART 2022","1719","","Edit admin page interactions","","Edit admin page interactions","Just success First Name","Just success First Name",""
"failed","Tue Jun 28 02:38:48 ART 2022","Tue Jun 28 02:38:48 ART 2022","146","","Edit Super Admin page interactions","","Edit Super Admin page interactions","Long failed password","Long failed password",""
"passed","Sun Jun 26 23:55:36 ART 2022","Sun Jun 26 23:55:39 ART 2022","2597","","Home page interactions","","Home page interactions","Admin main page should be deployed","Admin main page should be deployed",""
